followup1;other1;language;length;max_workers;mop;how_natural;rating_list;merged_ratings;text;number_of_reasons
"10
5
5,9,10
5,7,9,10
5,6
5,7
5
5,9
5,7
9
5,10
6
7
6

6
6
5,10
9
";"


















";ja;23;17;MOP4;3, 2, 1, 2, 2, 2, 3, 1, 3, 3, 2, 1, 3, 1, 4, 2, 3, 1, 3, 4;2, 4, 2, 4, 2, 2, 1, 3, 3, 4, 2, 4, 2, 2, 1, 4, 1;3, 2, 1, 2, 2, 2, 3, 1, 3, 3, 2, 1, 3, 1, 4, 2, 3, 1, 3, 4,2, 4, 2, 4, 2, 2, 1, 3, 3, 4, 2, 4, 2, 2, 1, 4, 1;The ( born November 12, 1952 ) , Richard Hargrave Colless is a member of the KMT Australian politicians and the Australian New South Wales Parliament .;29
"10
7


7
7
5
7
5,6,7
7
7,8
10

5,7

5,7

7

9";"


















";en;20;18;MOP4;3, 3, 4, 4, 3, 3, 2, 2, 1, 3, 2, 3, 4, 2, 4, 2, 4, 3, 4, 3;3, 4, 1, 4, 3, 3, 2, 4, 4, 1, 1, 4, 3, 3, 4, 1, 3, 4;3, 3, 4, 4, 3, 3, 2, 2, 1, 3, 2, 3, 4, 2, 4, 2, 4, 3, 4, 3,3, 4, 1, 4, 3, 3, 2, 4, 4, 1, 1, 4, 3, 3, 4, 1, 3, 4;The 2010 Scottish Cup Final was the 125th final of the Scotland's most prestigious football knockout competition , the Scottish Cup .;19
"






9





5,10
10

10

10
";"


















";no;19;16;MOP4;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3;The Anglo -saksiske building was originally 34 feet wide by 38 feet long, and was probably divided into two rooms.;6
"


















";"


















";no;13;15;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;The change came after INN added HD capabilities to its centralized production studios.;0
"9
9


9,10
5
5

5,10
9
6

7
6
6

6
6

5";"


















";no;12;15;MOP4;3, 3, 4, 4, 3, 3, 2, 4, 2, 2, 2, 4, 2, 3, 3, 4, 2, 2, 4, 1;1, 4, 4, 3, 3, 2, 2, 2, 4, 2, 1, 4, 1, 4, 4;3, 3, 4, 4, 3, 3, 2, 4, 2, 2, 2, 4, 2, 3, 3, 4, 2, 2, 4, 1,1, 4, 4, 3, 3, 2, 2, 2, 4, 2, 1, 4, 1, 4, 4;The Committee has received, discussed and manuscripts sent out for critical review .;16
"





7

10

7

8






";"


















";en;11;15;MOP4;4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;The Committee received , discussed , and sent manuscripts out for critical review .;4
"9
10
7
7
5,9


6,9
5,9
5
10
9
9
5
5
5
10
5
8
10";"


















";zh;16;17;MOP4;2, 3, 2, 2, 1, 4, 4, 2, 1, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3;1, 2, 1, 4, 2, 1, 1, 1, 2, 3, 1, 1, 4, 1, 2, 4, 4;2, 3, 2, 2, 1, 4, 4, 2, 1, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3,1, 2, 1, 4, 2, 1, 1, 1, 2, 3, 1, 1, 4, 1, 2, 4, 4;The department has opened trade three -month and six -month futures dollar / CRCKZT exchange rate and KASE index .;21
"5




5
9,10
10

5,10

9
10
5,10



5
8,9,10
";"


















";en;23;16;MOP4;3, 4, 4, 4, 4, 3, 2, 2, 4, 1, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4;2, 2, 4, 1, 2, 4, 3, 4, 4, 3, 3, 3, 2, 4, 2, 1;3, 4, 4, 4, 4, 3, 2, 2, 4, 1, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4,2, 2, 4, 1, 2, 4, 3, 4, 4, 3, 3, 3, 2, 4, 2, 1;The different moments of primitive accumulation distribute themselves now , more or less in chronological order , particularly over Spain , Portugal , Holland , France , and England .;15
"7
5,6

7
10
9
9

5,9
5
6

10

5,7,9
5,10

10
5,9,10
7,10";"


















";es;22;16;MOP4;3, 2, 4, 3, 3, 2, 2, 4, 1, 1, 2, 4, 3, 4, 1, 2, 4, 2, 1, 1;3, 1, 3, 3, 1, 1, 1, 1, 4, 4, 2, 2, 3, 3, 2, 2;3, 2, 4, 3, 3, 2, 2, 4, 1, 1, 2, 4, 3, 4, 1, 2, 4, 2, 1, 1,3, 1, 3, 3, 1, 1, 1, 1, 4, 4, 2, 2, 3, 3, 2, 2;The doctrine merges Israeli counterterrorism tactics with advanced theories Fixing Broken Windows by criminologist George L. Kelling and James Q sociologist . Wilson.;23
"7,9
10


5
5,9,10
7

5,10
6,7
9
7
7
9
7
5
5

5
5";"


















";es;15;17;MOP4;3, 3, 4, 4, 3, 2, 3, 4, 1, 3, 3, 3, 3, 2, 3, 1, 1, 4, 2, 1;1, 2, 2, 1, 4, 2, 4, 4, 3, 4, 4, 3, 4, 2, 2, 1, 2;3, 3, 4, 4, 3, 2, 3, 4, 1, 3, 3, 3, 3, 2, 3, 1, 1, 4, 2, 1,1, 2, 2, 1, 4, 2, 4, 4, 3, 4, 4, 3, 4, 2, 2, 1, 2;The early development of children's literature , before printing was invented , it is difficult to trace.;21
"5,9




6
5,10
6,9



5,6
10
9
5
5,10
6

5
6,10";"


















";es;17;15;MOP4;2, 4, 4, 4, 4, 2, 3, 2, 4, 4, 4, 2, 3, 2, 3, 2, 3, 4, 1, 3;2, 2, 1, 3, 2, 2, 3, 1, 2, 2, 2, 1, 2, 4, 1;2, 4, 4, 4, 4, 2, 3, 2, 4, 4, 4, 2, 3, 2, 3, 2, 3, 4, 1, 3,2, 2, 1, 3, 2, 2, 3, 1, 2, 2, 2, 1, 2, 4, 1;The European Court of Human Rights ( ECHR) said on December 4, 2008 , the legality of the ban.;18
"5,6,9
9
10
5
6

5
5
9


10
5

7



5,10
5,10";"


















";no;16;16;MOP4;2, 2, 3, 2, 3, 4, 2, 3, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 2;2, 3, 1, 4, 2, 3, 1, 4, 4, 3, 1, 4, 3, 4, 1, 1;2, 2, 3, 2, 3, 4, 2, 3, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 2,2, 3, 1, 4, 2, 3, 1, 4, 4, 3, 1, 4, 3, 4, 1, 1;The highway began on US 62 south of Prairie Grove and drove south to a factory.;17
"9





5,10
11

6
9,10,11
8,9
10
9
9

9
10
9,11
";"






Spacing is quite queer


Too many commas where they are not required. It breaks the sentence up and makes it difficult to read out loud.







There are extra spaces between the word and some of the commas.
";es;17;18;MOP4;2, 4, 4, 4, 4, 4, 3, 3, 4, 3, 2, 3, 1, 3, 2, 4, 2, 3, 2, 4;4, 4, 4, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 1;2, 4, 4, 4, 4, 4, 3, 3, 4, 3, 2, 3, 1, 3, 2, 4, 2, 3, 2, 4,4, 4, 4, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 1;The Interactive Products Group , with a workforce of 95, had his own animators , art department , and engineers .;17
"







7








7

";"


















";en;14;17;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;The race was stopped after 20 laps due to an accident involving Niklas Ajo .;2
"
6

8,10







6
7
9



6

";"


















";en;23;14;MOP4;4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 4, 4, 4, 3, 4, 4;4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 1, 4;4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 4, 4, 4, 3, 4, 4,4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 1, 4;The reviews were formally brought to an end in 1967 by the Local Government ( Termination of Reviews ) Act 1967 , which dissolved the Commission .;7
"




9



5
9




9,10



";"


















";en;12;15;MOP4;4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;The series is based on the  Outlander  novels written by Diana Gabaldon .;5
"11
9,10
";"non-English words.

";zh;9;16;MOP4;3, 3, 4;2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 3, 2, 2, 2, 4, 1;3, 3, 4,2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 3, 2, 2, 2, 4, 1;The series is based on the book,  Outlander  novels戴安娜加瓦尔East .;3
"7



11

6,7
5

5
9
6
5
5,10
8
5

5
6
5";"



simply doesn't make sense














";zh;12;16;MOP4;3, 4, 4, 4, 2, 4, 3, 2, 4, 2, 3, 2, 2, 3, 2, 2, 4, 2, 2, 2;1, 4, 1, 1, 3, 2, 1, 2, 2, 1, 2, 3, 1, 1, 1, 4;3, 4, 4, 4, 2, 4, 3, 2, 4, 2, 3, 2, 2, 3, 2, 2, 4, 2, 2, 2,1, 4, 1, 1, 3, 2, 1, 2, 2, 1, 2, 3, 1, 1, 1, 4;The siliceous quartz and different color from white to pale olive gray.;16
"


















";"


















";en;14;16;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;The socks include a design that features anatomically placed cushioning and an Achilles protector .;0
"7
7
7

7


6,10

6,10,11
6,9
7

6,10
7
6,10


6
";"








Lack of distinction between Lesley Snr and Lesley Jnr









";es;19;14;MOP4;3, 2, 3, 4, 3, 4, 4, 1, 4, 3, 3, 2, 4, 3, 3, 3, 4, 4, 3, 4;1, 1, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2, 4;3, 2, 3, 4, 3, 4, 4, 1, 4, 3, 3, 2, 4, 3, 3, 3, 4, 4, 3, 4,1, 1, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 2, 4;The son of William T. Lesley Lesley was sheriff and a member of the Constitutional Convention of 1885 Florida.;18
"





9


7


9,10
7
9
5,7
7
5
7
9,10";"


















";zh;19;19;MOP4;4, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 4, 3, 2, 3, 2, 3, 2, 3, 2;4, 1, 4, 4, 2, 3, 4, 3, 4, 1, 1, 3, 2, 2, 4, 3, 2, 4, 2;4, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 4, 3, 2, 3, 2, 3, 2, 3, 2,4, 1, 4, 4, 2, 3, 4, 3, 4, 1, 1, 3, 2, 2, 4, 3, 2, 4, 2;The station can also be seen in the chapter about the channel 6 and the high-definition digital channel 785 .;13
"
9,10
";"

";no;14;18;MOP4;4, 3, 4;4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4;4, 3, 4,4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4;The tail of a traditional lionhead can be fully separated , partially separated , or webbed .;2
"9
10
6
5
7
5,9,10
7
5,6,7,10
9
7
7,9
5,11
10
8,10
5
6
9
7,8,10
5
9";"










wrong word go instead of getting







";no;24;14;MOP4;3, 3, 3, 2, 3, 1, 2, 1, 2, 3, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1;2, 3, 2, 3, 1, 3, 1, 4, 1, 4, 2, 4, 1, 3;3, 3, 3, 2, 3, 1, 2, 1, 2, 3, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1,2, 3, 2, 3, 1, 3, 1, 4, 1, 4, 2, 4, 1, 3;The two horses ran head-to -head down the stretch with a certain Dr Devious go ahead near the wire to win by a short head.;30
"5,6,9
5
9
5,9,10
10
7
6

9,10
5,6,9


7,9
7,10
5
5,6,9
5,10
6
5
5,6,9";"


















";zh;13;13;MOP4;2, 3, 3, 3, 1, 3, 2, 4, 2, 1, 4, 4, 3, 2, 2, 2, 2, 2, 1, 2;1, 2, 2, 2, 2, 4, 4, 1, 1, 4, 1, 3, 2;2, 3, 3, 3, 1, 3, 2, 4, 2, 1, 4, 4, 3, 2, 2, 2, 2, 2, 1, 2,1, 2, 2, 2, 2, 4, 4, 1, 1, 4, 1, 3, 2;Their first title ,  Home , released praise on September 28, 1999 , and successfully sold .;31
"9,10
9,10
10
5


5
9


6,7,10
5,10
5
5,10
5,10
5
5,6,9,10
5
5
";"


















";zh;16;17;MOP4;1, 3, 3, 1, 4, 4, 2, 2, 4, 4, 3, 2, 1, 1, 1, 1, 2, 3, 3, 4;4, 3, 1, 1, 3, 3, 1, 1, 2, 1, 4, 2, 1, 1, 2, 2, 1;1, 3, 3, 1, 4, 4, 2, 2, 4, 4, 3, 2, 1, 1, 1, 1, 2, 3, 3, 4,4, 3, 1, 1, 3, 3, 1, 1, 2, 1, 4, 2, 1, 1, 2, 2, 1;Their name , talangpaz, meaning  rock or boulder , which evokes a religious house, they built on the rock.;25
"5,10
5,10
5,9,10
5,7,10
5,9,10
10
5,9
10
10
10
5,9,10
5,6,10
5,9
7
9,10
9,10
5,9
5,9
10
5,6";"


















";ja;18;16;MOP4;3, 1, 1, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 3, 2, 3, 2, 1, 2, 2;1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 2;3, 1, 1, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 3, 2, 3, 2, 1, 2, 2,1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 2;Then , by lowering , the fare of SpiceJet again was followed by , Jet Airways plans to attract more passengers .;39
"

9,10





5

5
9

5



9
6,10
";"


















";no;24;18;MOP4;4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 1, 2, 4, 1, 4, 4, 4, 2, 2, 4;1, 2, 3, 4, 2, 3, 2, 4, 4, 2, 1, 4, 4, 3, 2, 3, 4, 2;4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 1, 2, 4, 1, 4, 4, 4, 2, 2, 4,1, 2, 3, 4, 2, 3, 2, 4, 4, 2, 1, 4, 4, 3, 2, 3, 4, 2;There are several denticles on the tail behind the spikes , and small individuals also have a bead backbone in the center of the plate.;9
"

10


9



6

5
5

9


11
5
5";"
















The part about ""art and his music"" is awkward.

";ja;16;15;MOP4;4, 4, 2, 4, 4, 3, 4, 4, 4, 2, 4, 1, 2, 4, 2, 4, 4, 3, 2, 3;3, 1, 4, 3, 1, 3, 4, 3, 4, 3, 1, 4, 3, 4, 2;4, 4, 2, 4, 4, 3, 4, 4, 4, 2, 4, 1, 2, 4, 2, 4, 4, 3, 2, 3,3, 1, 4, 3, 1, 3, 4, 3, 4, 3, 1, 4, 3, 4, 2;There is no specific genre of art and his music , but it is sometimes called Horrorpunk .;9
"
7
10
6
9


9,10
10

10
9

6,10
9

7,9
9
5
";"


















";es;9;14;MOP4;4, 3, 3, 2, 3, 4, 4, 2, 3, 4, 2, 3, 4, 3, 3, 4, 1, 3, 2, 4;4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1;4, 3, 3, 2, 3, 4, 4, 2, 3, 4, 2, 3, 4, 3, 3, 4, 1, 3, 2, 4,4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1;There, he was a student DJ and studied journalism .;16
"5,6
7
9
6,10


5,6
9
6

6,10
9
6
10
9

6,10
5,9
5,9
5";"


















";es;13;16;MOP4;2, 3, 3, 2, 4, 4, 3, 2, 3, 4, 1, 3, 3, 2, 2, 4, 3, 1, 1, 2;1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 4, 1, 2, 3, 3, 3;2, 3, 3, 2, 4, 4, 3, 2, 3, 4, 1, 3, 3, 2, 2, 4, 3, 1, 1, 2,1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 4, 1, 2, 3, 3, 3;Therefore, it is probably time assigned to a new , yet - to-be- named subfamily.;23
"10




5,9,10
10
5,10


10
10
10
10
10
7
9,10
5

6,10";"


















";en;25;17;MOP4;3, 4, 4, 4, 4, 1, 3, 1, 4, 4, 3, 3, 3, 3, 3, 2, 3, 2, 4, 2;1, 3, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 1, 1, 2, 2;3, 4, 4, 4, 4, 1, 3, 1, 4, 4, 3, 3, 3, 3, 3, 2, 3, 2, 4, 2,1, 3, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 1, 1, 2, 2;They are perceived/misconceived to severely damage hard terrain like asphalt pavement , but , actually , often have significantly lower ground pressures than equivalent or lighter wheeled vehicles .;18
"

7





9




9

11
9
5

9";"














""to"" is the wrong word, should be ""on""



";en;13;17;MOP4;4, 4, 3, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 1, 3, 3, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2;4, 4, 3, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 1, 3, 3, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2;This decoration had the distinction of being conferred exclusively to females until 1976 .;7
"5,6
9,10
6

5
7,10
5,9,10
7
5,6,9
5,6
11
5,6

5
7
5
5,7
5

5,9";"









Doesn't make sense








";zh;14;15;MOP4;2, 2, 3, 4, 2, 3, 2, 3, 1, 1, 2, 2, 4, 1, 3, 2, 2, 1, 4, 2;1, 1, 4, 1, 2, 1, 2, 1, 3, 2, 1, 3, 2, 1, 4;2, 2, 3, 4, 2, 3, 2, 3, 1, 1, 2, 2, 4, 1, 3, 2, 2, 1, 4, 2,1, 1, 4, 1, 2, 1, 2, 1, 3, 2, 1, 3, 2, 1, 4;This decoration has been given specifically for women until the difference between the 1976 's .;28
"




7
10


10




9
7,11
9


";"














Used the word 'left' twice; the second time was not necessary



";es;16;16;MOP4;4, 4, 4, 4, 4, 3, 2, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 3, 2, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;This left Hayden eight points behind Rossi in the championship with one race left to go .;7
"

10



7
5,10
7,10
10
7


5,6,7,10

7
9

5
";"


















";es;20;18;MOP4;4, 4, 3, 4, 4, 4, 3, 2, 2, 2, 2, 4, 4, 1, 4, 3, 3, 4, 3, 4;3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 2, 2;4, 4, 3, 4, 4, 4, 3, 2, 2, 2, 2, 4, 4, 1, 4, 3, 3, 4, 3, 4,3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 2, 2;This paper then addresses the most important question in astronomy : the stability of the Solar System , first investigated by Laplace.;15
"7
6,9
5,9,10
6
5
9

5,6
7

10
5,6,9




5

11
6";"

















It's possibly correct, but it's unclear what ""three months and six months futures"" means without context, so it sounds somewhat natural.
";es;18;15;MOP4;3, 2, 1, 2, 2, 3, 4, 1, 3, 4, 2, 2, 4, 4, 4, 4, 2, 4, 3, 1;3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 4, 1;3, 2, 1, 2, 2, 3, 4, 1, 3, 4, 2, 2, 4, 4, 4, 4, 2, 4, 3, 1,3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 4, 1;This sector has opened trading in three months and six months futures USD / KZT rate and KASE Index .;19
"
7

















";"


















";es;9;17;MOP4;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;This story does not hold up well under scrutiny.;1
"7




9
8,9


6








7
";"


















";no;10;12;MOP4;3, 4, 4, 4, 4, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;3, 4, 4, 4, 4, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;This temple is made of a fine-grained gray sand stone.;6
"



10
7

7


7




5,6,9,10

6,10
5
10";"


















";es;9;16;MOP4;4, 4, 4, 4, 3, 3, 4, 2, 4, 4, 2, 4, 4, 4, 4, 1, 4, 3, 1, 3;3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 2;4, 4, 4, 4, 3, 3, 4, 2, 4, 4, 2, 4, 4, 4, 4, 1, 4, 3, 1, 3,3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 2;This temple is made of stone gray fine-grained sand .;12
"


















";"


















";no;13;18;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;This wheel is powered by the heat of a candle or electric light.;0
"
10
5,6,9
5
7
5,9,10
7
5,6,7
5
5,6,10
5
5,6,7,8,9
10
5,6,10
5,8,9,10
6,10
5,9
8,9
5,7
8";"


















";ja;21;16;MOP4;4, 3, 1, 1, 3, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2;1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 3;4, 3, 1, 1, 3, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2,1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 3;To make a return of Jungledyret 3, he hopes that you maintain the safety of Hugo Turn over a new leaf .;40
"9
9
6
5
5
5
5

5
5


10
6
5,6

6
9,10
6
9";"


















";ja;11;16;MOP4;3, 3, 1, 3, 3, 1, 2, 4, 2, 2, 4, 4, 3, 2, 2, 4, 3, 3, 3, 3;3, 1, 4, 4, 2, 3, 1, 3, 2, 1, 2, 2, 1, 2, 4, 3;3, 3, 1, 3, 3, 1, 2, 4, 2, 2, 4, 4, 3, 2, 2, 4, 3, 3, 3, 3,3, 1, 4, 4, 2, 3, 1, 3, 2, 1, 2, 2, 1, 2, 4, 3;Topical form to treat glaucoma , It has been approved in Japan .;18
"7

5

9
9

5

5
5
5,7

7
7

5
7
10
9";"


















";no;23;17;MOP4;3, 4, 1, 4, 2, 2, 4, 2, 4, 3, 3, 2, 4, 2, 2, 4, 3, 1, 3, 3;2, 1, 3, 2, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 1, 3, 4;3, 4, 1, 4, 2, 2, 4, 2, 4, 3, 3, 2, 4, 2, 2, 4, 3, 1, 3, 3,2, 1, 3, 2, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 1, 3, 4;Under Stimson Doctrine , the United States and under similar doctrines , the legitimacy of the Soviet occupation of the Baltic States was never recognized .;15
"5
9
5,9,10
5,6
10
9



5,6
5,6,10
9


5
6,7,9

5

7";"


















";zh;13;17;MOP4;3, 2, 3, 1, 3, 3, 4, 4, 4, 3, 2, 2, 4, 4, 3, 2, 4, 2, 4, 3;4, 4, 2, 2, 4, 1, 2, 4, 3, 4, 4, 3, 2, 1, 3, 3, 4;3, 2, 3, 1, 3, 3, 4, 4, 4, 3, 2, 2, 4, 4, 3, 2, 4, 2, 4, 3,4, 4, 2, 2, 4, 1, 2, 4, 3, 4, 4, 3, 2, 1, 3, 3, 4;Verrinder county championship in 1974 made his first-class debut for Surrey against Middlesex .;21
"








5









";"


















";es;14;16;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;Verrinder made his first-class debut for Surrey against Middlesex in the 1974 County Championship .;1
"9,10
5,10

8,9
5
9,10


5,10
6,10
9,10

7
10
5,10
7
7,10
5,10

5,9";"


















";ja;10;14;MOP4;3, 1, 4, 3, 3, 3, 4, 4, 2, 2, 2, 4, 2, 3, 2, 3, 2, 2, 4, 1;4, 3, 1, 3, 1, 2, 3, 1, 3, 2, 2, 4, 1, 2;3, 1, 4, 3, 3, 3, 4, 4, 2, 2, 2, 4, 2, 3, 2, 3, 2, 2, 4, 1,4, 3, 1, 3, 1, 2, 3, 1, 3, 2, 2, 4, 1, 2;Volkswagen , was an early adopter of the restraint system passive .;26
"9
9

6
11
5
6
9
5
5
9
6
9,10

9,10
9
7
5
6,10
6";"



doesn't quite make sense














";en;17;14;MOP4;3, 2, 4, 3, 1, 2, 2, 2, 2, 3, 2, 2, 2, 4, 3, 2, 3, 2, 3, 2;3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;3, 2, 4, 3, 1, 2, 2, 2, 2, 3, 2, 2, 2, 4, 3, 2, 3, 2, 3, 2,3, 4, 4, 2, 2, 3, 2, 1, 2, 3, 4, 2, 4, 1;Was inactivated in 1963 when SAC inactivated its provisional Strategic Wings , redesignating them permanent Air Force Wings .;21
